Name;Speed;Control
Stiga Active;7.9;7.9
Stiga Allround Classic;6.6;8.9
Stiga Allround Classic Carbon;7.6;9
Stiga Allround Classic CR;7.4;9.2
Stiga Allround Classic Cybershape;7.4;9.6
Stiga Allround Classic Oversize WRB;6.9;8.8
Stiga Allround Classic WRB;6.8;8.8
Stiga Allround CR WRB;6.5;8
Stiga Allround Evolution;7.3;8.7
Stiga Allround NCT;7.5;9.3
Stiga Allround Oversize;7.7;9.6
Stiga Arctic Wood;8.5;9.4
Stiga Aura Hybrid Carbon;-;-
Stiga Aura Hybrid Carbon Cybershape;9.1;9.2
Stiga Azalea Allround;8.7;9.3
Stiga Azalea Offensive;8.5;8.5
Stiga By Banda Allround;8.3;9.9
Stiga Carbo 7.6;9.4;8.6
Stiga Carbo 7.6 WRB;9.2;8.3
Stiga Carbo Oversize;9;7.6
Stiga Carbokev;9.2;6.9
Stiga Carbokev WRB;9.1;6.8
Stiga Carbonado;8;10
Stiga Carbonado 145;9.3;8.7
Stiga Carbonado 190;9.2;9.3
Stiga Carbonado 245;9.7;8.6
Stiga Carbonado 290;9.4;9
Stiga Carbonado 45;8.5;9.2
Stiga Carbonado 90;9.5;9.4
Stiga Carbonix WRB;8.3;8.2
Stiga CC5;9.5;9.1
Stiga CC7;9.6;8.5
Stiga Celero;8.2;9
Stiga Centric Carbon;8.6;9.6
Stiga Clipper;8.6;8.5
Stiga Clipper Classic;9;9
Stiga Clipper CR;9;8.5
Stiga Clipper CR (WRB);9;8.6
Stiga Clipper Cybershape;8.7;9
Stiga Clipper Oversize WRB;9;9
Stiga Clipper Rosewood CRW (Limited Edition);9.7;7.9
Stiga Clipper WRB;8.9;8.6
Stiga Corona;4.9;7.1
Stiga Cybershape Carbon;9.1;9
Stiga Cybershape Carbon CWT;9.6;9.2
Stiga Cybershape Carbon CWT Truls Edition;9;9.3
Stiga Cybershape Wood;7.9;9.4
Stiga Cybershape Wood CWT;8.3;9.2
Stiga Defensive Classic;5.8;9.5
Stiga Defensive NCT;6.1;9.6
Stiga Defensive Pro;6.4;9.3
Stiga Destiny Carbon;-;-
Stiga Destiny Carbon Cybershape;-;-
Stiga Dynasty Carbon;9;9.2
Stiga Dynasty Carbon Xu Xin Edition;8.5;9.5
Stiga Ebenholz NCT V;9.1;9
Stiga Ebenholz NCT VII;9.4;8.5
Stiga Emerald VPS V;9.3;9.2
Stiga Energy WRB;7.5;8.2
Stiga Energy WRB V2;6.9;9
Stiga Eternity VPS V;9.1;9
Stiga Exclusive Off;9.1;8.6
Stiga Graphite Wood;9;7.6
Stiga Hans Asler;5.7;9.3
Stiga Hybrid Wood NCT;9.5;9
Stiga HyperTech CR 35/45;6.9;8
Stiga Infinity VPS V Diamond Touch;8.6;8.9
Stiga Inspira CCF;9;8.5
Stiga Inspira Hybrid Carbon;9.1;9.6
Stiga Inspira Plus;9.2;8.1
Stiga Intensity NCT;8.8;8.7
Stiga Intensity NCT Carbon;9.3;9
Stiga J.M. Saive Control;6.9;8.3
Stiga J.M. Saive Power WRB;8.5;9
Stiga Kevtech;9.1;6.8
Stiga KevTech WRB;8.7;7.6
Stiga Kjell Johannson;7.4;8.3
Stiga Legacy Carbon 12k;9.5;8.1
Stiga Maplewood NCT V;9.1;9.3
Stiga Maplewood NCT VII;9.1;8.3
Stiga Nostalgic Allround;8.7;9.6
Stiga Nostalgic Offensive;8.9;9.2
Stiga Nostalgic VII;9;8.8
Stiga Off.classic Wrb;-;-
Stiga Offensive Classic (OC);7.6;8.3
Stiga Offensive Classic Carbon;8.4;8.3
Stiga Offensive Classic WRB;8.3;8.4
Stiga Offensive CR;8.1;8.3
Stiga Offensive CR WRB;8.6;8.8
Stiga Offensive Oversize WRB;8.4;7.6
Stiga Offensive Wood NCT;8.1;8.9
Stiga Optimum Carbo;9.2;7.1
Stiga Optimum Plus;8.2;7.5
Stiga Optimum Seven;9.2;6.7
Stiga Optimum Sync;8.2;8.3
Stiga Pure;8;9
Stiga Pure Cybershape;7.9;9.4
Stiga Pure Cybershape CWT;-;-
Stiga Rosewood NCT V;8.9;8.9
Stiga Rosewood NCT VII;9.1;8.6
Stiga Rosewood XO;9.2;8.6
Stiga S-3000;8.4;7.6
Stiga S-4000 WRB;8.7;6.4
Stiga S-5000 WRB;7.8;6.5
Stiga Sense 7.6;9.6;8.7
Stiga Stellan Bengtsson;7.9;9
Stiga Super Carbon;9;8.5
Stiga Titanium;8.9;8.3
Stiga Titanium 5.4;8.7;6.4
Stiga Titanium 5.4 WRB;9.3;8.8
Stiga Triumph WRB;7.2;7.8
Stiga Truls Moregardh Carbon (not not CWT);-;-
Stiga Tube Allround WRB;7.6;8.8
Stiga Tube Aluminium WRB;8.8;7.3
Stiga Tube Carbo WRB;9.3;8.3
Stiga Tube Defensive WRB;6.3;8.7
Stiga Tube Light WRB;7.8;8.4
Stiga Tube Offensive WRB;8.5;8.6
Stiga Ulf Tickan Carlsson All 2000;8.1;9.5
Stiga V1 Carbon;9;6
Stiga Wavy Ultra Fiber Cybershape;9.5;8
TSP Altero;8.9;9
TSP Arsnova;8.6;9.3
TSP Balsa 2.5 DEF Fitter;4.5;8.7
TSP Balsa 2.5 Defence;5;9.1
TSP Balsa 3.5 DEF+;5.2;9.5
TSP Balsa 4.5 ALL;7.4;9.4
TSP Balsa 4.5 ALL Fitter;7.3;8.9
TSP Balsa 5.5 ALL+;8.5;9.1
TSP Balsa 5.5 Fitter;9;9.1
TSP Balsa 6.5 OFF;9.3;9.6
TSP Balsa 6.5 OFF Fitter;9.2;9
TSP Balsa 8.5 Top Speed;9.6;8.8
TSP Black Balsa 3.0;4.3;9.5
TSP Black Balsa 4.0;-;-
TSP Black Balsa 5.0;7;9.4
TSP Black Balsa 6.0;6;7
TSP Black Balsa 7.0;9.3;9.5
TSP Blazze ALL+;-;-
TSP Blazze OFF-;9;9
TSP Blazze Soft Touch OFF;8.8;9.1
TSP Blazze Soft Touch OFF+;9.8;7.9
TSP Blockman;6;9
TSP Break-11;8.1;8.6
TSP Break-9;8.8;10
TSP Defense Classic;7.3;9.1
TSP Defensive Reflex System;-;-
TSP Euro Classic ALL +;8;9
TSP Euro Feeling;8.4;9.4
TSP Euro Power OFF;9.1;9.4
TSP Fusion ALL+;8.5;9.5
TSP Gaia;9;9.1
TSP Galleon;8.6;9.7
TSP Hino-Carbon Power;9.1;8.5
TSP Hino-Carbon Speed;8.8;8.5
TSP Kanjo Feeling ALL+;6.5;9
TSP Lightness;5.5;8.5
TSP New Spin;9.5;8.5
TSP Phoenix Fire OFF;9.6;8
TSP PURE HINOKI;-;-
TSP Reflex 50 Award ALL;7.6;9.1
TSP Reflex 50 Award OFF;8.4;9
TSP Reflex 50 Award OFF Light;8.5;8
TSP Reflex Allround;7;8
TSP Reflex Offensive;8.5;9.6
TSP Superblade Neo;9.4;9.1
TSP Swat;8.7;9.4
TSP Swat 5PW;6;10
TSP Swat Carbon;8.6;9.5
TSP Swat Power;9.2;9.3
TSP Trinity Carbon;9;9.3
TSP Versal;7.8;8.3
TSP Victas Koji Matsushita;6.5;9.1
Victas Award Offensive;8.3;8.3
Victas Benedikt Duda AFC;-;-
Victas Birmingham 77 - Japanese Penhold;-;-
Victas Black Balsa 3.0;4;9
Victas Black Balsa 5.0;-;-
Victas Black Balsa 7.0;-;-
Victas Black Balsa V 3.0;-;-
Victas Black Balsa V 5.0;-;-
Victas Black Balsa V 7.0;-;-
Victas Dyna Carbon;7;9
