marque,nom,nb_plis,poids_g,epaisseur_mm,composition,pli1,pli2,pli3,pli4,pli5,pli6,pli7
Butterfly,Fan Zhendong ALC,7,87,5.8,Koto-ALC-Limba-Kiri-Limba-ALC-Koto,Koto,ALC,Limba,Kiri,Limba,ALC,Koto
Butterfly,Fan Zhendong Super ZLC,7,90,5.6,Koto-SZLC-Limba-Kiri-Limba-SZLC-Koto,Koto,SZLC,Limba,Kiri,Limba,SZLC,Koto
Butterfly,Fan Zhendong ZLC,7,86,5.5,Koto-ZLC-Limba-Kiri-Limba-ZLC-Koto,Koto,ZLC,Limba,Kiri,Limba,ZLC,Koto
Butterfly,Lin Gaoyuan ALC,7,87,5.7,Koto-ALC-Limba-Kiri-Limba-ALC-Koto,Koto,ALC,Limba,Kiri,Limba,ALC,Koto
Butterfly,Lin Yun-Ju Super ZLC,7,87,5.6,Koto-SZLC-Limba-Kiri-Limba-SZLC-Koto,Koto,SZLC,Limba,Kiri,Limba,SZLC,Koto
Butterfly,Timo Boll ALC,7,84,5.7,Koto-ALC-Limba-Kiri-Limba-ALC-Koto,Koto,ALC,Limba,Kiri,Limba,ALC,Koto
Butterfly,Timo Boll Spirit,7,89,5.7,Koto-ALC-Limba-Kiri-Limba-ALC-Koto,Koto,ALC,Limba,Kiri,Limba,ALC,Koto
Butterfly,Timo Boll ZLC,7,85,5.5,Koto-ZLC-Limba-Kiri-Limba-ZLC-Koto,Koto,ZLC,Limba,Kiri,Limba,ZLC,Koto
Butterfly,Timo Boll ZLF,7,83,5.4,Koto-ZLF-Limba-Kiri-Limba-ZLF-Koto,Koto,ZLF,Limba,Kiri,Limba,ZLF,Koto
Butterfly,Timo Boll W7,7,94,6.7,Koto-Ayous-Ayous-Ayous-Ayous-Ayous-Koto,Koto,Ayous,Ayous,Ayous,Ayous,Ayous,Koto
Butterfly,Viscaria,7,86,5.8,Koto-ALC-Limba-Kiri-Limba-ALC-Koto,Koto,ALC,Limba,Kiri,Limba,ALC,Koto
Butterfly,Viscaria Super ALC,7,89,5.7,Koto-SALC-Limba-Kiri-Limba-SALC-Koto,Koto,SALC,Limba,Kiri,Limba,SALC,Koto
Butterfly,Zhang Jike ALC,7,87,5.8,Koto-ALC-Limba-Kiri-Limba-ALC-Koto,Koto,ALC,Limba,Kiri,Limba,ALC,Koto
Butterfly,Zhang Jike Super ZLC,7,90,5.6,Koto-SZLC-Limba-Kiri-Limba-SZLC-Koto,Koto,SZLC,Limba,Kiri,Limba,SZLC,Koto
Butterfly,Zhang Jike ZLC,7,86,5.5,Koto-ZLC-Limba-Kiri-Limba-ZLC-Koto,Koto,ZLC,Limba,Kiri,Limba,ZLC,Koto
Butterfly,Innerforce Layer ALC,7,90,6.0,Limba-Limba-ALC-Ayous-ALC-Limba-Limba,Limba,Limba,ALC,Ayous,ALC,Limba,Limba
Butterfly,Innerforce Layer ZLC,7,85,5.7,Limba-Limba-ZLC-Ayous-ZLC-Limba-Limba,Limba,Limba,ZLC,Ayous,ZLC,Limba,Limba
Butterfly,Harimoto Tomokazu Innerforce ALC,7,88,6.0,Limba-Limba-ALC-Ayous-ALC-Limba-Limba,Limba,Limba,ALC,Ayous,ALC,Limba,Limba
Butterfly,Primorac,5,84,5.5,Limba-Limba-Ayous-Limba-Limba,Limba,Limba,Ayous,Limba,Limba,,
Butterfly,Primorac Carbon,5,89,7.0,Hinoki-T5000-Kiri-T5000-Hinoki,Hinoki,T5000,Kiri,T5000,Hinoki,,
Butterfly,Korbel Speed,5,89,5.6,Koto-Limba-Ayous-Limba-Koto,Koto,Limba,Ayous,Limba,Koto,,
Butterfly,Sardius,5,92,7.2,Hinoki-T5000-Kiri-T5000-Hinoki,Hinoki,T5000,Kiri,T5000,Hinoki,,
Butterfly,Schlager Carbon,5,93,7.4,Cyprès-T5000-Kiri-T5000-Cyprès,Cyprès,T5000,Kiri,T5000,Cyprès,,
Butterfly,Amultart,5,86,7.1,Hinoki-ZLC-Kiri-ZLC-Hinoki,Hinoki,ZLC,Kiri,ZLC,Hinoki,,
